code,name,description,material,size,fragm,cultlayer,image_file,group_key,is_mask,part_extracted,part_norm,name_norm,name_is_uncertain,name_is_missing,material_norm,material_is_missing,split
М102-2012-1-0851,Тарелка,Тарелки фаянсовой с белой поливой внутри и снаружи края фигурного фр-т,Фаянс,D ок20 см,Фрагмент,Дерн со щепой,dataset\М102-2012-1-0851_orig.jpg,М102-2012-1-0851,False,общий_фрагмент,общий_фрагмент,Тарелка,False,False,Фаянс,False,train_inner
М102-2012-1-0942,Миска,Миски красноглиняной с белым ангобом внутри и снаружи профиль,Керамика,"D26 (донце), D21 (венчик) см",Фрагмент,Дерн со щепой,dataset\М102-2012-1-0942_orig.jpg,М102-2012-1-0942,False,профиль,профиль,Миска,False,False,Керамика,False,train_inner
М102-2012-1-0949,Изразец,Изразца красноглиняного плоского с белой поливой и голубой росписью фр-т,Керамика,"10+ х 9+ х 1,5; выс румпы=4,5 см",Фрагмент,Дерн со щепой,dataset\М102-2012-1-0949_orig.jpg,М102-2012-1-0949,False,общий_фрагмент,общий_фрагмент,Изразец,False,False,Керамика,False,train_inner
М102-2012-1-1008,Изразец,"Изразца красноглиняного с белой поливой, растительным орнаментом и монохромной растительной росписью фр-т",Керамика,"10,7+ х 6,4+ х 6+ см",Фрагмент,Дерн со щепой,dataset\М102-2012-1-1008_orig.jpg,М102-2012-1-1008,False,общий_фрагмент,общий_фрагмент,Изразец,False,False,Керамика,False,train_inner
М102-2012-2-0538,Блюдце,Блюдца (?) фарфорового с полихромной растительной росписью и золотой окантовкой края фр-т,Фарфор,D15 см,Фрагмент,Дерн,dataset\М102-2012-2-0538_orig.jpg,М102-2012-2-0538,False,общий_фрагмент,общий_фрагмент,Блюдце,False,False,Фарфор,False,train_inner
М102-2012-2-1028,Тарелка,Тарелки фаянсовой с белой поливой снаружи и внутри с полихромной растительной росписью профиль,Фаянс,D24 см,Фрагмент,Битый кирпич,dataset\М102-2012-2-1028_orig.jpg,М102-2012-2-1028,False,профиль,профиль,Тарелка,False,False,Фаянс,False,train_inner
М102-2012-2-1068,Плитка,Плитки напольной из каменной массы (?) с белой поливой края фр-т,Каменная масса,"10,5+ х 6,5+ х 1 см",Фрагмент,Битый кирпич,dataset\М102-2012-2-1068_orig.jpg,М102-2012-2-1068,False,общий_фрагмент,общий_фрагмент,Плитка,False,False,Керамика,False,train_inner
М102-2012-2-1086,Тарелка,Тарелки фаянсовой с белой поливой снаружи и внутри с полихромной растительной росписью донца фр-т,Фаянс,D13 см,Фрагмент,"Желтый песок, подсыпка под мостовой 1",dataset\М102-2012-2-1086_orig.jpg,М102-2012-2-1086,False,донце,донце,Тарелка,False,False,Фаянс,False,train_inner
М102-2012-2-1095,Изразец,Изразца(?) белоглиняного с белой поливой фр-т,Керамика,"5+ х 5,5 х 2,5+ см",Фрагмент,Битый кирпич,dataset\М102-2012-2-1095_orig.jpg,М102-2012-2-1095,False,общий_фрагмент,общий_фрагмент,Изразец,False,False,Керамика,False,train_inner
М102-2012-2-1121,Блюдце,Блюдца фарфорового с белой поливой снаружи и внутри края фр-т,Фарфор,D15 см,Фрагмент,Слой под мостовой 2,dataset\М102-2012-2-1121_orig.jpg,М102-2012-2-1121,False,общий_фрагмент,общий_фрагмент,Блюдце,False,False,Фарфор,False,train_inner
М102-2012-2-1123,Блюдце,Блюдца фарфорового с белой поливой снаружи и зеленой внутри донца фр-т,Фарфор,D9 см,Фрагмент,Слой под мостовой 2,dataset\М102-2012-2-1123_orig.jpg,М102-2012-2-1123,False,донце,донце,Блюдце,False,False,Фарфор,False,train_inner
М102-2012-2-1166,Блюдце,Блюдца (?) фарфорового с белой поливой внутри и снаружи донца клейменого фр-т,Фарфор,D9 см,Фрагмент,,dataset\М102-2012-2-1166_orig.jpg,М102-2012-2-1166,False,донце,донце,Блюдце,False,False,Фарфор,False,train_inner
М102-2012-2-1181,Плитка,Плитки  желтоглиняной облицовочной с голубой поливой снаружи и клеймом на внутренней стороне фр-т,Керамика,"12+ х 7,3+ х 1,1 см",Фрагмент,,dataset\М102-2012-2-1181_orig.jpg,М102-2012-2-1181,False,общий_фрагмент,общий_фрагмент,Плитка,False,False,Керамика,False,train_inner
М102-2012-2-1264,Тарелка,Тарелки фаянсовой с белой поливой снаружи и кобальтовой геометрической росписью внутри края фр-т,Фаянс,D26 см,Фрагмент,Слой под цементным полом (мусор XIX века),dataset\М102-2012-2-1264_orig.jpg,М102-2012-2-1264,False,общий_фрагмент,общий_фрагмент,Тарелка,False,False,Фаянс,False,train_inner
М102-2012-2-1265,Тарелка,Тарелки фаянсовой с белой поливой снаружи и кобальтовой растительно-геометрической росписью внутри края фр-т,Фаянс,D26 см,Фрагмент,Слой под цементным полом (мусор XIX века),dataset\М102-2012-2-1265_orig.jpg,М102-2012-2-1265,False,общий_фрагмент,общий_фрагмент,Тарелка,False,False,Фаянс,False,train_inner
М102-2012-2-1267,Тарелка,Тарелки фаянсовой с белой поливой снаружи и кобальтовой растительно-геометрической росписью внутри края фр-т,Фаянс,D26 см,Фрагмент,Слой под цементным полом (мусор XIX века),dataset\М102-2012-2-1267_orig.jpg,М102-2012-2-1267,False,общий_фрагмент,общий_фрагмент,Тарелка,False,False,Фаянс,False,train_inner
М102-2012-2-1271,Блюдце,Блюдца фарфорового с белой поливой снаружи и внутри с рельефной поверхностью придонной части фр-т,Фарфор,D8 см,Фрагмент,Слой под цементным полом (мусор XIX века),dataset\М102-2012-2-1271_orig.jpg,М102-2012-2-1271,False,придонная_часть,придонная_часть,Блюдце,False,False,Фарфор,False,train_inner
М102-2012-2-1313,Блюдце,Блюдца фарфорового с золотой окантовкой снаружи донца клейменого фр-т,Фарфор,D9 см,Фрагмент,,dataset\М102-2012-2-1313_orig.jpg,М102-2012-2-1313,False,донце,донце,Блюдце,False,False,Фарфор,False,train_inner
М102-2012-2-1314,Крышка,Сосуда фарфорового с белой поливой внутри и снаружи с золотой окантовкой крышки фр-т,Фарфор,D7 см,Фрагмент,,dataset\М102-2012-2-1314_orig.jpg,М102-2012-2-1314,False,крышка,крышка,Крышка,False,False,Фарфор,False,train_inner
М102-2012-2-1319,Тарелка,Тарелки фаянсовой с белой поливой снаружи и внутри края фр-т,Фаянс,D25 см,Фрагмент,Слой под цементным полом (мусор XIX века),dataset\М102-2012-2-1319_orig.jpg,М102-2012-2-1319,False,общий_фрагмент,общий_фрагмент,Тарелка,False,False,Фаянс,False,train_inner
М102-2012-2-1327,Плитка,Плитки белоглиняной облицовочной с белой поливой снаружи края фр-т,Керамика,"7,8+ х 5,4+ х 1,1 см",Фрагмент,,dataset\М102-2012-2-1327_orig.jpg,М102-2012-2-1327,False,общий_фрагмент,общий_фрагмент,Плитка,False,False,Керамика,False,train_inner
М102-2012-2-1361,Блюдце,Блюдца фарфорового с белой поливой внутри и снаружи профиль,Фарфор,"D14,5 см",Фрагмент,Слой под цементным полом (мусор XIX века),dataset\М102-2012-2-1361_orig.jpg,М102-2012-2-1361,False,профиль,профиль,Блюдце,False,False,Фарфор,False,train_inner
М102-2012-2-1394,Крышка,Сосуда фаянсового с полихромной растительно-геометрической росписью и следами позолоты крышка,Фаянс,D9 см,Целый,,dataset\М102-2012-2-1394_orig.jpg,М102-2012-2-1394,False,крышка,целый_предмет,Крышка,False,False,Фаянс,False,train_inner
М102-2012-2-1406,Блюдце,Блюдца фаянсового профиля фр-т,Фаянс,D8 см,Фрагмент,Яма с битым кирпичом,dataset\М102-2012-2-1406_orig.jpg,М102-2012-2-1406,False,профиль,профиль,Блюдце,False,False,Фаянс,False,train_inner
Мич11-ш01-005,Плитка,Плитки керамической с белой поливой и кобальтовой росписью фр-т,Керамика,,Фрагмент,Техноген,dataset\Мич11-ш01-005_orig.jpg,Мич11-ш01-005,False,общий_фрагмент,общий_фрагмент,Плитка,False,False,Керамика,False,train_inner
Мич11-ш01-029,Изразец,Изразца красноглиняного с белой поливой и кобальтовой росписью фр-т,Керамика,,Фрагмент,Сильногумусированная коричневая супесь с включениями битого кирпича,dataset\Мич11-ш01-029_orig.jpg,Мич11-ш01-029,False,общий_фрагмент,общий_фрагмент,Изразец,False,False,Керамика,False,train_inner
Мич11-ш02-057,Изразец,Изразца-перемычки красноглиняного с белой поливой и кобальтовой росписью  фр-т,Керамика,,Фрагмент,Техноген,dataset\Мич11-ш02-057_orig.jpg,Мич11-ш02-057,False,общий_фрагмент,общий_фрагмент,Изразец,False,False,Керамика,False,train_inner
Мич11-ш04-155,Изразец,Изразца красноглиняного с рельефным орнаментом фр-т,Керамика,,Фрагмент,Техноген,dataset\Мич11-ш04-155_orig.jpg,Мич11-ш04-155,False,общий_фрагмент,общий_фрагмент,Изразец,False,False,Керамика,False,train_inner
БП11-Р01-Г01-1247,Тарелка,Тарелки фаянсовой край,Фаянс,Д23 см,Фрагмент,Горизонт 1/ темно-коричневый гумусированный суглинок,dataset\БП11-Р01-Г01-1247_orig.jpg,БП11-Р01-Г01-1247,False,край,другое,Тарелка,False,False,Фаянс,False,train_inner
БП11-Р01-Г03-6493,Изразец,Изразец красноглиняный изогнутый с зеленой поливой фрагментированный,Керамика,"18,5х9+х4,5+ см",Фрагмент,Горизонт 3/ щепа + гумус,dataset\БП11-Р01-Г03-6493_orig.jpg,БП11-Р01-Г03-6493,False,общий_фрагмент,общий_фрагмент,Изразец,False,False,Керамика,False,train_inner
БП11-Р01-Г01-1290,Тарелка,Тарелки фаянсовой профиль,Фаянс,Д26 см,Фрагмент,Горизонт 1/ темно-коричневый гумусированный суглинок,dataset\БП11-Р01-Г01-1290_orig.jpg,БП11-Р01-Г01-1290,False,профиль,профиль,Тарелка,False,False,Фаянс,False,train_inner
БП11-Р01-Г01-1395,Тарелка,Тарелки фаянсовой с клеймом профиль,Фаянс,Д25-14 см,Фрагмент,Горизонт 1/ темно-коричневый гумусированный суглинок,dataset\БП11-Р01-Г01-1395_orig.jpg,БП11-Р01-Г01-1395,False,профиль,профиль,Тарелка,False,False,Фаянс,False,train_inner
БП11-Р01-тех-0468,Крышка,Крышки красноглиняной края фр-т,Керамика,Д30 см,Фрагмент,Горизонт техноген,dataset\БП11-Р01-тех-0468_orig.jpg,БП11-Р01-тех-0468,False,крышка,крышка,Крышка,False,False,Керамика,False,train_inner
БП11-Р01-Г01-1137,Крышка,Сосуда красноглиняного с коричневой поливой снаружи крышки фр-т,Керамика,Д20 см,Фрагмент,Горизонт 1/ темно-коричневый гумусированный суглинок,dataset\БП11-Р01-Г01-1137_orig.jpg,БП11-Р01-Г01-1137,False,крышка,крышка,Крышка,False,False,Керамика,False,train_inner
БП11-Р01-тех-0061,Изразец,Изразца светлоглиняного орнаментированного с белой поливой и полихромной росписью фр-т,Керамика,"11,5+х7,8+х 5 см",Фрагмент,Горизонт техноген/ внутри дома,dataset\БП11-Р01-тех-0061_orig.jpg,БП11-Р01-тех-0061,False,общий_фрагмент,общий_фрагмент,Изразец,False,False,Керамика,False,train_inner
БП11-Р01-Г01-1065,Тарелка,Тарелки фаянсовой донца фр-т,Фаянс,Д17 см,Фрагмент,Горизонт 1,dataset\БП11-Р01-Г01-1065_orig.jpg,БП11-Р01-Г01-1065,False,донце,донце,Тарелка,False,False,Фаянс,False,train_inner
БП11-Р01-Г03-3339,Изразец,Изразца красноглиняного с белой поливой и кобальтовой росписью фр-т,Керамика,,Фрагмент,Горизонт 3/ темно-коричневый гумусированный суглинок,dataset\БП11-Р01-Г03-3339_orig.jpg,БП11-Р01-Г03-3339,False,общий_фрагмент,общий_фрагмент,Изразец,False,False,Керамика,False,train_inner
БП11-Р01-Г01-0944,Тарелка,Тарелки фаянсовой с кобальтовой росписью края фр-т,Фаянс,Д24 см,Фрагмент,Горизонт 1/ темно-коричневый гумусированный суглинок,dataset\БП11-Р01-Г01-0944_orig.jpg,БП11-Р01-Г01-0944,False,общий_фрагмент,общий_фрагмент,Тарелка,False,False,Фаянс,False,train_inner
БП11-Р01-Г03-3244,Тарелка,Тарелки красноглиняной со светло-желтой и коричневой поливой внутри и полихромной росписью поливой края фр-т,Керамика,Д28 см,Фрагмент,Горизонт 3/ темно-коричневый гумусированный суглинок с включениями кирпичной крошки,dataset\БП11-Р01-Г03-3244_orig.jpg,БП11-Р01-Г03-3244,False,общий_фрагмент,общий_фрагмент,Тарелка,False,False,Керамика,False,train_inner
БП11-Р01-Г01-1397,Тарелка,Тарелки фаянсовой края фр-т,Фаянс,Д33 см,Фрагмент,Горизонт 1/ темно-коричневый гумусированный суглинок,dataset\БП11-Р01-Г01-1397_orig.jpg,БП11-Р01-Г01-1397,False,общий_фрагмент,общий_фрагмент,Тарелка,False,False,Фаянс,False,train_inner
БП11-Р01-тех-0421,Тарелка,Тарелки красноглиняной с росписью профиль,Керамика,Д25 см,Фрагмент,Горизонт техноген,dataset\БП11-Р01-тех-0421_orig.jpg,БП11-Р01-тех-0421,False,профиль,профиль,Тарелка,False,False,Керамика,False,train_inner
БП11-Р01-Г01-1405,Тарелка,Тарелки фаянсовой с зеленой росписью края фр-т,Фаянс,Д16 см,Фрагмент,Горизонт 1/ темно-коричневый гумусированный суглинок,dataset\БП11-Р01-Г01-1405_orig.jpg,БП11-Р01-Г01-1405,False,общий_фрагмент,общий_фрагмент,Тарелка,False,False,Фаянс,False,train_inner
БП11-Р01-Г01-1192,Изразец,Изразца углового красноглиняного с белой поливой фр-т,Керамика,,Фрагмент,Горизонт 1/ серо-желтая мешаная супесь,dataset\БП11-Р01-Г01-1192_orig.jpg,БП11-Р01-Г01-1192,False,общий_фрагмент,общий_фрагмент,Изразец,False,False,Керамика,False,train_inner
БП11-Р01-Г01-1197,Крышка,Крышка белого металла на бутылку с изображением герба фрагментированная,Белый металл,"Д3, толщина 0,1 см",Фрагмент,Горизонт 1/ темно-коричневый гумусированный суглинок с кирпичной крошкой,dataset\БП11-Р01-Г01-1197_orig.jpg,БП11-Р01-Г01-1197,False,крышка,крышка,Крышка,False,False,Прочее,False,train_inner
БП11-Р01-Г01-1289,Тарелка,Тарелки фаянсовой с красной росписью профиль,Фаянс,Д15-12 см,Фрагмент,Горизонт 1/ темно-коричневый гумусированный суглинок,dataset\БП11-Р01-Г01-1289_orig.jpg,БП11-Р01-Г01-1289,False,профиль,профиль,Тарелка,False,False,Фаянс,False,train_inner
БП11-Р01-тех-0394,Тарелка,Тарелки фаянсовой края фр-т,Фаянс,Д30 см,Фрагмент,Горизонт техноген,dataset\БП11-Р01-тех-0394_orig.jpg,БП11-Р01-тех-0394,False,общий_фрагмент,общий_фрагмент,Тарелка,False,False,Фаянс,False,train_inner
БП11-Р01-Г03-6483,Блюдце,Блюдца фарфорового с кобальтовой росписью профиля фр-т,Фарфор,"Д13,5 см",Фрагмент,Горизонт 3/ щепа + гумус,dataset\БП11-Р01-Г03-6483_orig.jpg,БП11-Р01-Г03-6483,False,профиль,профиль,Блюдце,False,False,Фарфор,False,train_inner
Кроп-2013-152,Тарелка,Тарелки фарфоровой с полихромным рельефным пейзажным орнаментом внутри донца фр-т,Фарфор,Д=16 см,Фрагмент,,dataset\Кроп-2013-152_orig.jpg,Кроп-2013-152,False,донце,донце,Тарелка,False,False,Фарфор,False,train_inner
Кроп-2013-155,Блюдце,Сосуда (блюдца ?) фарфорового с растительным полихромным орнаментом внутри венчика фр-т,Фарфор,Д=15 см,Фрагмент,,dataset\Кроп-2013-155_orig.jpg,Кроп-2013-155,False,венчик,венчик,Блюдце,False,False,Фарфор,False,train_inner
Кроп-2013-203,Миска,Миски светлоглиняной с коричневой поливой внутри и снаружи профиля фр-т,Керамика,Двен=34; Ддон=22 см,Фрагмент,,dataset\Кроп-2013-203_orig.jpg,Кроп-2013-203,False,профиль,профиль,Миска,False,False,Керамика,False,train_inner
Кроп-2013-218,Миска,Миски красноглиняной со светло-коричневой поливой внутри и снаружи венчика фр-т,Керамика,Д=17 см,Фрагмент,,dataset\Кроп-2013-218_orig.jpg,Кроп-2013-218,False,венчик,венчик,Миска,False,False,Керамика,False,train_inner
Кроп-2013-240,Миска,Миски белоглиняной с зеленой с коричневым поливой внутри и снаружи профиля фр-т,Керамика,"Двен=17; Ддон=8,5 см",Фрагмент,,dataset\Кроп-2013-240_orig.jpg,Кроп-2013-240,False,профиль,профиль,Миска,False,False,Керамика,False,train_inner
Кроп-2013-243,Тарелка,Тарелки фаянсовой с белой поливой внутри и снаружи с рельефным орнаментом по краю профиля фр-т,Керамика,"Двен=26; Ддон=14; выс=4,5 см",Фрагмент,,dataset\Кроп-2013-243_orig.jpg,Кроп-2013-243,False,профиль,профиль,Тарелка,False,False,Керамика,False,train_inner
Кроп-2013-248,Блюдце,Блюдца фаянсового с белой поливой снаружи и внутри с синим подглазурным растительным орнаментом внутри донца клейменого фр-т,Фаянс,Д=7 см,Фрагмент,,dataset\Кроп-2013-248_orig.jpg,Кроп-2013-248,False,донце,донце,Блюдце,False,False,Фаянс,False,train_inner
Кроп-2013-262,Тарелка,"Тарелки фаянсовой с белой поливой внутри и снаружи с клеймом на донце, профиля фр-т",Фаянс,Двен=21; ддон=14; выс=3 см,Фрагмент,,dataset\Кроп-2013-262_orig.jpg,Кроп-2013-262,False,донце,донце,Тарелка,False,False,Фаянс,False,train_inner
Кроп-2013-263,Блюдце,"Блюдце фарфоровое с растительным декольным орнаментом внутри, фрагментированное",Фарфор,"Двен=15; Ддон=9; выс=2,5 см",Фрагмент,,dataset\Кроп-2013-263_orig.jpg,Кроп-2013-263,False,общий_фрагмент,общий_фрагмент,Блюдце,False,False,Фарфор,False,train_inner
Кроп-2013-267,Тарелка,Тарелки фарфоровой  с рельефным краем профиля фр-т,Фарфор,Двен=25; Ддон=14; выс=3 см,Фрагмент,,dataset\Кроп-2013-267_orig.jpg,Кроп-2013-267,False,профиль,профиль,Тарелка,False,False,Фарфор,False,train_inner
Кроп-2013-268,Тарелка,Тарелки фарфоровой донца клейменого фр-т,Фарфор,Д=12 см,Фрагмент,,dataset\Кроп-2013-268_orig.jpg,Кроп-2013-268,False,донце,донце,Тарелка,False,False,Фарфор,False,train_inner
Кроп-2013-285,Тарелка,"Тарелка фаянсовая с белой поливой внутри и снаружи ,с клеймами на донце, фрагментированная",Фаянс,"Двен=15; Ддон=7; выс=1,5 см",Фрагмент,,dataset\Кроп-2013-285_orig.jpg,Кроп-2013-285,False,донце,донце,Тарелка,False,False,Фаянс,False,train_inner
Кроп-2013-317,Тарелка,"Тарелка фаянсовая с белой поливой внутри и снаружи с линейным орнаментом (зеленый, золотистый) вдоль венчика внутри и клеймом на донце, фрагментированная",Фаянс,"Двен=14,5; Ддон=12,5; выс=4,5 см",Фрагмент,,dataset\Кроп-2013-317_orig.jpg,Кроп-2013-317,False,венчик,венчик,Тарелка,False,False,Фаянс,False,train_inner
Кроп-2013-373,Крышка,Сосуда красноглиняного со светло-коричневой снаружи и белой поливой внутри крышки фр-т,Керамика,Д=17 см,Фрагмент,,dataset\Кроп-2013-373_orig.jpg,Кроп-2013-373,False,крышка,крышка,Крышка,False,False,Керамика,False,train_inner
Кроп-2013-391,Тарелка,"Тарелки фарфоровой с линейным красно-желтым  орнаментом по краю, профиля фр-т",Фарфор,Двен=24; Ддон=15; Выс=3 см,Фрагмент,,dataset\Кроп-2013-391_orig.jpg,Кроп-2013-391,False,профиль,профиль,Тарелка,False,False,Фарфор,False,train_inner
Кроп-2013-398,Тарелка,Тарелки фаянсовой с белой поливой внутри и снаружи профиля фр-т,Фаянс,"Двен=24; Ддон=11; Выс=4,5 см",Фрагмент,,dataset\Кроп-2013-398_orig.jpg,Кроп-2013-398,False,профиль,профиль,Тарелка,False,False,Фаянс,False,train_inner
Кроп-2013-400,Тарелка,Тарелки фарфоровой с линейным золотым орнаментом по краю снаружи донца клейменого фр-т,Фарфор,"Д=9,5 см",Фрагмент,,dataset\Кроп-2013-400_orig.jpg,Кроп-2013-400,False,донце,донце,Тарелка,False,False,Фарфор,False,train_inner
Кроп-2013-403,Тарелка,Тарелки фарфоровой с линейным и растительным полихромным орнаментом профиля фр-т,Фарфор,Двен=17; Ддон=10; Выс= 3 см,Фрагмент,,dataset\Кроп-2013-403_orig.jpg,Кроп-2013-403,False,профиль,профиль,Тарелка,False,False,Фарфор,False,train_inner
Кроп-2013-414,Тарелка,Сосуда (тарелки ?) фаянсового с темно-синей поливой внутри и снаружи донца фр-т,Фаянс,Ддон=12 см,Фрагмент,,dataset\Кроп-2013-414_orig.jpg,Кроп-2013-414,False,донце,донце,Тарелка,False,False,Фаянс,False,train_inner
Кроп-2013-415,Тарелка,Тарелки фаянсовой с темно-синей поливой внутри и снаружи венчика фр-т,Фаянс,Д=19 см,Фрагмент,,dataset\Кроп-2013-415_orig.jpg,Кроп-2013-415,False,венчик,венчик,Тарелка,False,False,Фаянс,False,train_inner
Кроп-2013-421,Тарелка,Сосуда (тарелки ?) фаянсовой с белой поливой внутри и снаружи донца клейменого фр-т,Фаянс,Д=не определим,Фрагмент,,dataset\Кроп-2013-421_orig.jpg,Кроп-2013-421,False,донце,донце,Тарелка,False,False,Фаянс,False,train_inner
Кроп-2013-430,Тарелка,Тарелочки миниатюрной белоглиняной с серо-коричневой поливой снаружи и внутри профиля фр-т,Керамика,"Двен=9; Ддон=4; выс=1,5 см",Фрагмент,,dataset\Кроп-2013-430_orig.jpg,Кроп-2013-430,False,профиль,профиль,Тарелка,False,False,Керамика,False,train_inner
Кроп-2013-478,Блюдце,Блюдце фарфоровое с линейным золотым орнаментом внутри и клеймом на донце фрагментированное,Фарфор,Двен=15; Ддон=7; выс=3 см,Фрагмент,,dataset\Кроп-2013-478_orig.jpg,Кроп-2013-478,False,донце,донце,Блюдце,False,False,Фарфор,False,train_inner
Кроп-2013-481,Блюдце,Блюдца фарфорового с золотым линейным орнаментом и клейменым донцем профиля фр-т,Фарфор,Двен=15; Ддон=8; выс=3 см,Фрагмент,,dataset\Кроп-2013-481_orig.jpg,Кроп-2013-481,False,донце,донце,Блюдце,False,False,Фарфор,False,train_inner
Кроп-2013-482,Блюдце,Блюдца фарфорового донца клейменого фр-т,Фарфор,Д=8 см,Фрагмент,,dataset\Кроп-2013-482_orig.jpg,Кроп-2013-482,False,донце,донце,Блюдце,False,False,Фарфор,False,train_inner
Кроп-2013-Тр1-023,Плитка,"Плитка керамическая с белой поливой и зеленым подглазурным растительно-геометрическим орнаментом, клейменая",Керамика,"14,8 х 7,5 х 1 см",Целый,,dataset\Кроп-2013-Тр1-023_orig.jpg,Кроп-2013-Тр1-023,False,,целый_предмет,Плитка,False,False,Керамика,False,train_inner
Кроп-2013-Тр2-045,Тарелка,Тарелки фаянсовой с белой поливой внутри и снаружи с голубым меандром по краю венчика фр-т,Фаянс,Д=21 см,Фрагмент,,dataset\Кроп-2013-Тр2-045_orig.jpg,Кроп-2013-Тр2-045,False,венчик,венчик,Тарелка,False,False,Фаянс,False,train_inner
Кроп-2013-Тр2-049,Блюдце,Блюдца фарфорового с белой поливой снаружи и внутри с коричневой каймой и полихромным растительным орнаментом профиль,Фарфор,"Двенч=14; Ддон=8; выс=2,5 см",Фрагмент,,dataset\Кроп-2013-Тр2-049_orig.jpg,Кроп-2013-Тр2-049,False,профиль,профиль,Блюдце,False,False,Фарфор,False,train_inner
Кроп-2013-Тр2-050,Блюдце,Блюдца фарфорового с белой поливой снаружи и внутри профиль,Фарфор,Двенч=14; Ддон=8; выс=3 см,Фрагмент,,dataset\Кроп-2013-Тр2-050_orig.jpg,Кроп-2013-Тр2-050,False,профиль,профиль,Блюдце,False,False,Фарфор,False,train_inner
Кроп-2013-Тр2-053,Тарелка,"Сосуда (тарелки ?) фаянсового с белой поливой внутри и снаружи донца с фрагментом клейма подглазурного зеленого круглого с изображением чашки в центре и надписью по кругу "".. СФСР М.И. КАЛИНИНА…""  фр-т",Фаянс,Д=12 см,Фрагмент,,dataset\Кроп-2013-Тр2-053_orig.jpg,Кроп-2013-Тр2-053,False,донце,донце,Тарелка,False,False,Фаянс,False,train_inner
Нев11-Г0-005,Плитка,"Плитка бетонно-композитная напольная, орнаментированная","Основание - бетон, покрытие - композитный материал","21,7 х 21,7 х 2,5 см",Целый,Гориз.0,dataset\Нев11-Г0-005_orig.jpg,Нев11-Г0-005,False,,целый_предмет,Плитка,False,False,Прочее,False,train_inner
